videoId,title,duration,views,date,link
GTVBT1SQKWY,Math to Increase your Sharpe Ratios,,,,https://www.youtube.com/watch?v=GTVBT1SQKWY
A7zJARrdo3U,كيفية حساب ألفا وبيتا للمحفظة الاستثمارية (بايثون + Interactive Brokers),,,,https://www.youtube.com/watch?v=A7zJARrdo3U
LX4Ugaxx9n0,الدليل الشامل لإدارة المحافظ الكمية,,,,https://www.youtube.com/watch?v=LX4Ugaxx9n0
bCg9Q-nnJKI,الحجة الكمية لبيتكوين: تحليل هيكلي,,,,https://www.youtube.com/watch?v=bCg9Q-nnJKI&pp=0gcJCZkLAYcqIYzv
-sE1kz-fypI,Modeling Tail Risk: A Quantitative Survival Guide,,,,https://www.youtube.com/watch?v=-sE1kz-fypI
kOzvtRE_uX8,معدل النمو السنوي المركب (CAGR) للتمويل الكمي,,,,https://www.youtube.com/watch?v=kOzvtRE_uX8
A6QWWrhDJTc,كيف تفكر في فقاعات سوق الأسهم وتراجع أسعارها,,,,https://www.youtube.com/watch?v=A6QWWrhDJTc
WsEwKlr_1lA,متى يجب حقاً أن تكون استراتيجية التداول سرية؟,,,,https://www.youtube.com/watch?v=WsEwKlr_1lA
37wRzGdC9w4,كيف يستثمر خبير كمي مليون دولار,,,,https://www.youtube.com/watch?v=37wRzGdC9w4
Io49x7t0sZI,لماذا لا ينبغي عليك العمل في مجال الكم (بدون تجميل للحقائق),,,,https://www.youtube.com/watch?v=Io49x7t0sZI
xa5eSjASDWo,"خبير مالي حقيقي يكشف زيف خدعة ""التداول اليومي""",,,,https://www.youtube.com/watch?v=xa5eSjASDWo
E2PuxT_SucA,Stock Picking is Worse than Gambling at a Casino (I Can Prove It),,,,https://www.youtube.com/watch?v=E2PuxT_SucA
21SONVlvkDQ,"ما هي الـ ""ألفا"" بحق الجحيم؟ (وكيف تجدها بالفعل)",,,,https://www.youtube.com/watch?v=21SONVlvkDQ
E73rL7Hex-k,قابلتُ شخصًا يُدعى جين ستريت كوانت في صالة الألعاب الرياضية (لقد أخطأ في هذا الأمر),,,,https://www.youtube.com/watch?v=E73rL7Hex-k
kmAE9ZhQ0jU,شرح علاوة مخاطر التقلب: التقلب الضمني مقابل التقلب الفعلي,,,,https://www.youtube.com/watch?v=kmAE9ZhQ0jU&pp=0gcJCZkLAYcqIYzv
aoT3Zln2cak,أريد أن ينهار السوق,,,,https://www.youtube.com/watch?v=aoT3Zln2cak
KD_fh_jA_iQ,لا. لست بحاجة إلى إجراء اختبار رجعي لاستراتيجية التداول.,,,,https://www.youtube.com/watch?v=KD_fh_jA_iQ
Soea_7rzkR8,كيفية اشتقاق أثر التقلب (Volatility Drag),,,,https://www.youtube.com/watch?v=Soea_7rzkR8
YDjOBWb5iG8,إدارة المحافظ الكمية وأثر التقلبات (Volatility Drag),,,,https://www.youtube.com/watch?v=YDjOBWb5iG8
sgbEkAYAdwk,"الفخ الرياضي لـ ""اشترِ برنامج تجسس فقط""",,,,https://www.youtube.com/watch?v=sgbEkAYAdwk
1r39EGSm9fw,كيف يقوم محللو البيانات الكمية بهندسة المحافظ الاستثمارية؟,,,,https://www.youtube.com/watch?v=1r39EGSm9fw
QNYstoX0u1k,لماذا تركت عملي كباحث كمي,,,,https://www.youtube.com/watch?v=QNYstoX0u1k
-CPUbalMh14,النمذجة باستخدام قانون التوقع الكلي,,,,https://www.youtube.com/watch?v=-CPUbalMh14
mFovTf-TMvw,كيفية تداول خيار البيع المغطى نقداً,,,,https://www.youtube.com/watch?v=mFovTf-TMvw&pp=0gcJCZkLAYcqIYzv
bX-mT1pZFho,السبب الذي يجعلك ترغب في امتلاك سيارة فيراري هو نفسه السبب الذي يمنعك من امتلاكها,,,,https://www.youtube.com/watch?v=bX-mT1pZFho
8kBpVelo9Tg,لماذا تفشل استراتيجيتك في التداول,,,,https://www.youtube.com/watch?v=8kBpVelo9Tg
RBfc8SkRwwU,وهم الرياضيات في تداول الأفراد,,,,https://www.youtube.com/watch?v=RBfc8SkRwwU
92dW2ZDTsJg,لا تجد شغفك، بل تصنعه.,,,,https://www.youtube.com/watch?v=92dW2ZDTsJg&pp=0gcJCZkLAYcqIYzv
qKCjatq9CZM,برمجة روبوت ذكاء اصطناعي لتداول أسهم شركة إنفيديا (من الصفر),,,,https://www.youtube.com/watch?v=qKCjatq9CZM
FdqvAuHOQeE,نظام ترميز الاهتزاز وتداول الخيارات,,,,https://www.youtube.com/watch?v=FdqvAuHOQeE
RO0OUfMqkfk,لقد أنشأت شبكة تواصل اجتماعي للمتداولين الكميين,,,,https://www.youtube.com/watch?v=RO0OUfMqkfk
